Date,A,AAPL,ABBV,ABT,ACGL,ACN,ADBE,ADI,ADM,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALL,ALLE,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,AON,AOS,APA,APD,APH,APTV,ARE,ATO,AWK,AXP,GOOG,GOOGL,LNT,MMM,MO,T
2016-11-07,42.96503448486328,25.5629940032959,41.782867431640625,34.488914489746094,24.8850154876709,105.9948959350586,108.66000366210938,55.11447525024414,37.15616226196289,72.0,40.31479263305664,47.16891098022461,9.432690620422363,28.650482177734375,48.21756362915039,68.02140808105469,42.393917083740234,66.5199966430664,78.05659484863281,87.86000061035156,55.768165588378906,59.63799285888672,26.720890045166016,8.04637622833252,6.960000038146973,42.52473831176758,108.85875701904297,77.20783233642578,95.54278564453125,39.246498107910156,21.459999084472656,85.7699966430664,103.38452911376953,39.88950729370117,48.19036865234375,112.94458770751953,15.39738655090332,56.17731475830078,82.48413848876953,60.063758850097656,61.512062072753906,59.79664611816406,39.0301513671875,40.00244903564453,29.504863739013672,106.08636474609375,37.57819366455078,15.222962379455566
2016-11-08,42.880435943603516,25.713481903076172,41.71192169189453,34.46296310424805,24.983272552490234,105.853515625,108.38999938964844,55.53408432006836,37.685264587402344,72.69000244140625,40.632171630859375,47.6055908203125,9.447891235351562,28.856338500976562,48.39651107788086,68.11495971679688,42.7081413269043,66.37000274658203,74.86302947998047,88.79000091552734,56.36873245239258,59.902347564697266,26.8848819732666,8.04637622833252,7.0,43.04610824584961,108.26439666748047,76.80996704101562,96.15658569335938,39.38750076293945,21.517499923706055,86.94000244140625,104.08990478515625,40.25716018676758,47.75418472290039,112.82102966308594,15.459866523742676,56.957218170166016,83.30097198486328,60.4105224609375,62.434532165527344,59.859134674072266,39.428672790527344,40.49871826171875,29.94825553894043,106.89259338378906,37.906368255615234,15.297402381896973
2016-11-09,43.18122482299805,25.67181396484375,44.42841720581055,34.67060470581055,25.110061645507812,103.55636596679688,107.86000061035156,55.636837005615234,36.54807662963867,72.62999725341797,38.918331146240234,46.11485290527344,9.128654479980469,29.478012084960938,49.55965042114258,69.75640869140625,43.55479431152344,66.52999877929688,72.75511169433594,90.87999725341797,56.86084747314453,60.850425720214844,26.538679122924805,8.04637622833252,6.940000057220459,44.363746643066406,114.49677276611328,86.35090637207031,90.59102630615234,38.59400177001953,21.350000381469727,88.33000183105469,102.95757293701172,41.64895248413086,48.668495178222656,113.05997467041016,15.584815979003906,53.27705001831055,84.8412857055664,59.50232696533203,62.28794479370117,61.34957504272461,39.169307708740234,40.18000411987305,28.633651733398438,106.49260711669922,36.87004852294922,15.483506202697754
2016-11-10,44.20577621459961,24.956388473510742,45.39302062988281,35.13787078857422,25.360464096069336,106.31293487548828,104.08000183105469,55.0202751159668,35.67940139770508,73.48999786376953,37.92653274536133,44.977989196777344,8.718210220336914,30.157323837280273,51.4141731262207,71.00658416748047,44.68950271606445,66.22000122070312,73.75028228759766,90.5999984741211,57.928504943847656,63.001853942871094,25.673189163208008,8.04637622833252,6.300000190734863,45.42544937133789,118.52392578125,93.0303726196289,87.6797103881836,37.11899948120117,21.477500915527344,87.54000091552734,104.63748168945312,42.287967681884766,48.9201545715332,115.33401489257812,15.381190299987793,54.000091552734375,82.4063720703125,58.18134689331055,61.23616027832031,62.572296142578125,38.03459167480469,38.91813278198242,27.606849670410156,108.92384338378906,35.534332275390625,15.123708724975586
2016-11-11,43.585411071777344,25.104570388793945,44.754676818847656,34.73119354248047,25.712297439575195,105.29690551757812,103.68000030517578,55.93656921386719,32.954872131347656,73.80999755859375,37.90272521972656,45.16621017456055,8.558588981628418,29.89383316040039,51.50364303588867,70.58137512207031,44.98625946044922,65.44999694824219,72.7641830444336,91.54000091552734,58.08698272705078,63.184181213378906,26.256258010864258,8.04637622833252,6.690000057220459,44.81875228881836,116.54551696777344,93.84312438964844,87.6797103881836,36.95050048828125,21.537500381469727,88.9000015258789,102.5491943359375,42.06911849975586,48.41685104370117,114.14754486083984,15.41821002960205,52.992713928222656,81.26278686523438,58.26389694213867,61.45167922973633,62.92036056518555,37.608638763427734,38.4921875,27.505720138549805,109.42378997802734,35.5573616027832,15.098895072937012
2016-11-14,42.60784912109375,24.47480583190918,44.662479400634766,33.9178581237793,25.794708251953125,103.59172821044922,102.41999816894531,56.912803649902344,34.10824966430664,73.55000305175781,38.5771484375,44.21003341674805,8.52818489074707,29.935253143310547,52.422767639160156,73.14982604980469,45.492515563964844,65.44000244140625,69.73348236083984,90.22000122070312,58.962799072265625,62.5278205871582,26.4111385345459,8.04637622833252,6.789999961853027,45.349609375,115.27014923095703,96.72993469238281,85.07530212402344,35.95349884033203,21.957500457763672,90.61000061035156,102.2707748413086,41.63145065307617,49.43181228637695,113.68617248535156,15.41821002960205,54.073204040527344,82.64751434326172,58.54462432861328,60.87406921386719,64.6339340209961,36.71384048461914,37.56797409057617,27.622404098510742,108.06758880615234,35.229209899902344,14.941747665405273
2016-11-15,42.673648834228516,24.798954010009766,44.591556549072266,34.44565963745117,25.705955505371094,102.47850799560547,103.66000366210938,58.4113883972168,34.59347152709961,75.1500015258789,39.0928955078125,44.767181396484375,8.771413803100586,30.0263671875,52.544769287109375,73.14131164550781,44.576026916503906,65.47000122070312,72.48371124267578,93.94999694824219,59.47160339355469,62.691917419433594,26.97597885131836,8.04637622833252,6.96999979019165,45.56763458251953,115.7740249633789,96.6960678100586,85.83838653564453,37.1619987487793,21.947500228881836,91.26000213623047,102.21504974365234,41.605186462402344,53.17298126220703,113.81798553466797,15.533906936645508,54.24380874633789,82.92756652832031,58.990447998046875,61.74482345581055,64.67855834960938,37.83159255981445,38.66226577758789,28.019119262695312,108.89884185791016,35.58614730834961,15.20641803741455
2016-11-16,43.40681457519531,25.465747833251953,43.648231506347656,34.56679153442383,25.484079360961914,103.65357208251953,104.08000183105469,58.128807067871094,34.410518646240234,77.56999969482422,38.45814514160156,44.41331481933594,8.626996994018555,29.748876571655273,52.13808059692383,73.4389877319336,44.392738342285156,65.9000015258789,73.77742767333984,94.04000091552734,58.98781204223633,61.59797286987305,27.34951400756836,8.04637622833252,7.670000076293945,44.98938751220703,115.90786743164062,96.50984191894531,87.44747924804688,37.324501037597656,22.017499923706055,92.87999725341797,102.06657409667969,41.097496032714844,52.38447952270508,114.31233978271484,15.688953399658203,54.05695343017578,83.16094970703125,58.85010528564453,62.02930450439453,63.97348403930664,38.13035583496094,38.902671813964844,27.832433700561523,108.19439697265625,36.07553482055664,15.36357593536377
2016-11-17,43.18122482299805,25.45648956298828,43.76171875,34.94750213623047,25.547473907470703,104.58126831054688,105.80999755859375,58.4113883972168,34.20370864868164,78.45999908447266,38.4898681640625,44.31543731689453,8.687806129455566,29.980798721313477,52.24382400512695,73.41346740722656,45.0648193359375,66.5999984741211,75.06208801269531,97.23999786376953,59.8719596862793,62.245235443115234,27.99635124206543,8.04637622833252,8.460000038146973,45.69086837768555,116.01020050048828,96.16273498535156,87.53873443603516,37.81999969482422,22.010000228881836,93.52999877929688,103.42166137695312,41.228790283203125,51.50371551513672,113.70263671875,15.737543106079102,55.28367233276367,83.47986602783203,58.841835021972656,61.891387939453125,64.06273651123047,38.46703338623047,39.210906982421875,27.855772018432617,108.6723861694336,36.16189193725586,15.471094131469727
2016-11-18,42.33526611328125,25.48195457458496,42.92477035522461,34.47161102294922,25.62671661376953,104.63426208496094,105.0199966430664,58.634063720703125,34.59347152709961,76.9000015258789,38.466060638427734,43.99921417236328,8.665000915527344,30.0263671875,51.983543395996094,72.96272277832031,44.96879196166992,66.44000244140625,74.6006851196289,94.83999633789062,60.0721321105957,61.37007522583008,28.005462646484375,8.04637622833252,8.710000038146973,45.169498443603516,114.33333587646484,95.78175354003906,87.16547393798828,38.007999420166016,21.9950008392334,93.36000061035156,103.91353607177734,41.20253372192383,52.074119567871094,113.66964721679688,15.744483947753906,55.39741134643555,83.54991149902344,59.13908386230469,61.92585754394531,63.366600036621094,37.933841705322266,38.702667236328125,27.723520278930664,108.79188537597656,36.13886260986328,15.533123970031738
